,USER_ID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,Party
909,1128,1981.0,Male,"$50,000 - $74,999",Married (w/kids),Master's Degree,No,Yes,No,Yes,No,Yes,Public,No,Yes,No,No,No,Yes,Yes,Art,Try first,No,No,No,Yes,Giving,Yes,No,Pragmatist,No,Yes,Cool headed,Standard hours,No,Happy,Yes,Yes,No,Yes,A.M.,Yes,End,Yes,No,Me,Yes,No,No,No,Yes,Mysterious,No,No,Tunes,People,No,No,Yes,Yes,Yes,Supportive,No,Mac,No,Risk-friendly,No,Umm...,No,Space,No,In-person,Yes,No,Yes,Yes,Grrr people,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Own,Optimist,Dad,Yes,Yes,No,Yes,Nope,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Republican
1289,1597,1956.0,Female,"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,No,Yes,No,No,No,No,Private,No,Yes,No,No,Yes,No,Yes,Science,Try first,No,Yes,No,Yes,Giving,Yes,Yes,Pragmatist,No,Yes,Hot headed,Odd hours,No,Right,Yes,Yes,No,No,A.M.,Yes,End,No,No,Me,No,No,No,No,No,Mysterious,No,Yes,Talk,Technology,Yes,Yes,Yes,No,Yes,Demanding,,,Yes,Cautious,No,Umm...,No,Space,No,Online,No,Yes,Yes,No,Yay people!,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Own,Optimist,Dad,Yes,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Democrat
4211,5251,1995.0,,,,Current Undergraduate,,,,,,,,,,,,,,,,,,,,,,,,,,,Cool headed,Odd hours,,,,Yes,,,,Yes,,No,No,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
3362,4185,1984.0,Female,"$100,001 - $150,000",Married (no kids),Bachelor's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
1842,2282,1962.0,Female,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,,No,No,Yes,Yes,Yes,Public,Yes,No,No,Yes,No,No,Yes,Science,Try first,Yes,No,No,Yes,Giving,Yes,Yes,Pragmatist,No,No,Hot headed,Standard hours,Yes,Happy,Yes,Yes,No,No,P.M.,Yes,End,Yes,Yes,Circumstances,No,No,Yes,No,No,Mysterious,No,No,Talk,Technology,Yes,Yes,Yes,,Yes,Supportive,No,PC,,Cautious,No,Umm...,No,Space,No,In-person,No,Yes,No,Yes,Grrr people,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Own,Optimist,Dad,No,Yes,No,No,Check!,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Democrat
4558,5691,1996.0,Male,,Single (no kids),Current K-12,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot headed,Standard hours,,Right,Yes,No,No,No,,,,,,,,,,,,,,,,,No,,,No,,,No,PC,,,,,,,,In-person,No,No,Yes,,,,,,,,,,No,No,No,No,,,Optimist,Dad,,No,Yes,Yes,,,,,No,Yes,No,Yes,No,No,No,Democrat
3168,3952,1995.0,Male,"$50,000 - $74,999",Single (no kids),Current Undergraduate,No,Yes,No,No,Yes,Yes,Public,No,Yes,No,Yes,No,Yes,Yes,Science,Study first,No,Yes,No,No,Giving,Yes,Yes,Idealist,No,No,Cool headed,Odd hours,No,Happy,Yes,Yes,No,Yes,P.M.,Yes,End,Yes,No,Circumstances,Yes,Yes,No,Yes,No,TMI,No,No,Tunes,Technology,No,No,Yes,Yes,Yes,Supportive,No,Mac,No,Cautious,No,Yes!,No,Space,Yes,Online,No,No,Yes,No,Yay people!,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Own,Optimist,Dad,No,Yes,Yes,Yes,Nope,No,Yes,No,No,Yes,No,Only-child,No,No,No,Democrat
958,1190,1991.0,Female,,Single (no kids),Current Undergraduate,,,,,Yes,Yes,Public,Yes,Yes,Yes,Yes,Yes,Yes,No,Science,Try first,No,No,No,No,Giving,Yes,No,Idealist,Yes,Yes,Hot headed,Odd hours,,,,,No,Yes,P.M.,,End,,,Circumstances,,No,Yes,Yes,No,TMI,No,No,Tunes,People,No,Yes,Yes,No,No,Demanding,Yes,Mac,Yes,Risk-friendly,No,Umm...,Yes,Space,No,,,,No,,,Yes,,,,Yes,,Yes,No,Yes,Yes,No,No,Own,Pessimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Democrat
1793,2225,1969.0,Female,"$50,000 - $74,999",Single (w/kids),High School Diploma,,,Yes,,,,,No,Yes,No,Yes,No,No,Yes,Art,Try first,Yes,No,No,No,Giving,Yes,No,Pragmatist,Yes,No,Hot headed,Odd hours,Yes,Happy,No,Yes,Yes,No,P.M.,No,End,Yes,No,Me,No,No,Yes,Yes,Yes,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,Yes,No,Demanding,No,PC,Yes,Cautious,No,Umm...,Yes,Space,No,Online,No,Yes,Yes,No,Grrr people,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Rent,Pessimist,Mom,Yes,Yes,Yes,No,Check!,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Democrat
2088,2601,1984.0,Female,"$75,000 - $100,000",Married (no kids),,,,,,,,,,,,,,,,,,,,,,,,No,,No,No,Cool headed,Standard hours,No,,,Yes,No,,P.M.,Yes,End,,No,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,Own,,,,,,Yes,Check!,Yes,No,,,,,,,,No,Republican
331,417,1975.0,Female,"$75,000 - $100,000",Married (w/kids),,,,,,,,,,Yes,No,No,Yes,No,Yes,Science,Try first,Yes,No,No,Yes,Giving,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,Demanding,No,PC,Yes,Cautious,No,Yes!,No,Space,No,,,,,,,Yes,,,Yes,Yes,No,No,Yes,,,,,Own,Optimist,Dad,Yes,Yes,Yes,No,Nope,Yes,No,No,Yes,,,,,,No,Republican
5240,6538,1996.0,Male,,Single (no kids),Current K-12,Yes,Yes,,,No,Yes,Private,No,No,Yes,No,Yes,Yes,Yes,Science,Try first,No,,,,Giving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
4412,5505,1980.0,Male,"$25,001 - $50,000",Domestic Partners (w/kids),Associate's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,Own,,,,Yes,No,,,,,,,,,,,,,Republican
2603,3238,1952.0,Male,"under $25,000",Single (no kids),Bachelor's Degree,No,Yes,No,Yes,Yes,No,Public,No,Yes,No,No,Yes,No,Yes,Art,Study first,No,No,No,No,Receiving,Yes,No,Idealist,No,Yes,Cool headed,Standard hours,No,Happy,No,Yes,No,No,,Yes,Start,Yes,No,Me,No,Yes,No,No,Yes,TMI,No,No,Tunes,Technology,No,Yes,Yes,No,No,Demanding,No,Mac,Yes,Cautious,No,,,Space,Yes,In-person,Yes,Yes,Yes,Yes,Grrr people,Yes,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Own,Pessimist,Dad,No,Yes,No,No,Check!,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Democrat
1774,2202,1988.0,Female,,Single (no kids),Bachelor's Degree,,Yes,No,No,Yes,Yes,Public,Yes,Yes,No,Yes,No,Yes,Yes,Art,Study first,No,No,Yes,Yes,Receiving,Yes,Yes,Pragmatist,No,Yes,Hot headed,Odd hours,No,Happy,No,Yes,No,No,P.M.,Yes,Start,No,Yes,Circumstances,No,Yes,No,No,No,Mysterious,No,No,Tunes,Technology,No,Yes,No,,Yes,Supportive,No,PC,No,Cautious,Yes,Umm...,No,Space,No,In-person,No,No,Yes,No,Grrr people,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Own,Pessimist,Dad,No,Yes,Yes,No,Nope,Yes,No,No,Yes,No,No,Only-child,No,No,No,Republican
2932,3648,1972.0,Female,"$25,001 - $50,000",Single (w/kids),Bachelor's Degree,,Yes,No,Yes,No,No,Private,No,Yes,No,Yes,No,No,No,Art,Study first,No,No,No,No,Giving,Yes,Yes,Pragmatist,Yes,Yes,Cool headed,Standard hours,No,,Yes,Yes,Yes,No,P.M.,Yes,End,No,No,Circumstances,No,Yes,No,Yes,Yes,Mysterious,,No,Tunes,People,No,Yes,Yes,No,Yes,Demanding,No,PC,Yes,Cautious,Yes,,Yes,Space,No,Online,Yes,No,Yes,Yes,Grrr people,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Rent,Pessimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,No,No,Only-child,No,No,No,Republican
3235,4027,1997.0,Female,"$25,001 - $50,000",,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Start,,,,Yes,No,No,No,No,TMI,No,No,Tunes,Technology,No,Yes,Yes,No,Yes,Supportive,No,PC,Yes,,No,,,,,,,,,,,,,,,,,,Yes,No,,,No,Own,Pessimist,Dad,No,No,Yes,No,Nope,Yes,No,No,Yes,,,,,,,Democrat
4525,5651,1966.0,Male,"$75,000 - $100,000",Married (w/kids),Associate's Degree,No,No,No,Yes,Yes,No,Public,No,No,No,Yes,Yes,No,Yes,Science,Try first,No,Yes,Yes,Yes,Giving,No,No,Idealist,Yes,No,Cool headed,Standard hours,Yes,Happy,Yes,Yes,No,No,P.M.,Yes,Start,Yes,Yes,Circumstances,Yes,No,No,No,Yes,TMI,No,No,Tunes,People,No,Yes,No,Yes,Yes,Supportive,No,Mac,Yes,Risk-friendly,No,Umm...,No,Socialize,No,In-person,Yes,No,Yes,No,Yay people!,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Rent,Optimist,Dad,Yes,Yes,Yes,Yes,Nope,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Democrat
4999,6247,1997.0,Male,,Single (no kids),Current K-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Demanding,Yes,Mac,,,No,Yes!,No,Space,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
4961,6199,,Male,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,,Yes,,Yes,Yes,No,Public,No,Yes,Yes,Yes,No,,Yes,Science,,Yes,Yes,Yes,No,Giving,No,No,,Yes,No,,,,,,,No,Yes,A.M.,Yes,End,No,Yes,Me,Yes,No,No,Yes,No,Mysterious,Yes,No,Talk,Technology,No,Yes,Yes,No,Yes,Demanding,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
4463,5568,1996.0,Female,"under $25,000",Single (no kids),Current K-12,Yes,Yes,No,No,No,No,Private,Yes,No,No,No,Yes,Yes,No,Science,Study first,No,No,Yes,Yes,Receiving,Yes,Yes,Pragmatist,No,Yes,,,,Happy,Yes,,,,,No,Start,Yes,No,Me,Yes,,,Yes,,,,,,,No,,No,Yes,No,Demanding,No,PC,,,,,No,,,Online,No,,Yes,Yes,Grrr people,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Rent,,,,,,Yes,Check!,No,No,No,Yes,Yes,No,,,No,Yes,Republican
1710,2121,1948.0,Female,"$100,001 - $150,000",Single (no kids),Bachelor's Degree,,Yes,,Yes,Yes,Yes,Public,No,Yes,No,No,Yes,No,Yes,Science,Study first,No,No,No,Yes,Giving,Yes,No,Idealist,No,Yes,Cool headed,Standard hours,Yes,Happy,Yes,Yes,No,Yes,A.M.,Yes,Start,Yes,No,Circumstances,,Yes,No,,No,Mysterious,No,No,Talk,Technology,No,No,Yes,Yes,No,Supportive,No,PC,No,Cautious,Yes,Yes!,No,Socialize,No,Online,No,Yes,Yes,Yes,Yay people!,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Own,Pessimist,Dad,No,Yes,Yes,Yes,Check!,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Democrat
4260,5311,1992.0,Male,"under $25,000",Single (no kids),Current Undergraduate,,,,,,,,No,Yes,No,Yes,No,No,Yes,Science,Study first,Yes,Yes,Yes,No,Giving,No,Yes,Pragmatist,No,Yes,Cool headed,Standard hours,No,Happy,Yes,Yes,No,No,P.M.,Yes,End,Yes,Yes,Circumstances,Yes,No,Yes,No,No,TMI,No,No,Talk,Technology,Yes,Yes,No,Yes,Yes,Supportive,No,Mac,Yes,Cautious,No,Umm...,No,Space,Yes,In-person,Yes,No,Yes,Yes,Yay people!,No,Yes,Yes,No,Yes,Yes,No,No,No,,,,Rent,Optimist,Dad,No,,,,Nope,No,No,,,Yes,,,,,Yes,Democrat
1366,1700,1995.0,Male,"$50,000 - $74,999",Single (no kids),Current K-12,,No,No,No,No,No,Public,No,No,No,No,No,Yes,Yes,Art,Study first,No,Yes,Yes,Yes,Receiving,,No,Pragmatist,No,Yes,Hot headed,Standard hours,No,Happy,Yes,Yes,No,Yes,P.M.,Yes,End,Yes,No,Circumstances,Yes,Yes,No,Yes,No,TMI,No,No,Tunes,Technology,No,Yes,Yes,No,Yes,Demanding,No,Mac,Yes,Cautious,Yes,Umm...,No,Space,No,Online,No,No,Yes,Yes,Yay people!,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Own,Optimist,Mom,No,Yes,No,Yes,Nope,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Democrat
173,218,1974.0,Male,"over $150,000",Married (no kids),Master's Degree,,,,,,,,,,,,,Yes,,,Study first,No,Yes,Yes,No,Giving,,,,,,,,,,,,,,,Yes,End,Yes,Yes,,No,Yes,Yes,Yes,Yes,TMI,,,,,Yes,Yes,No,Yes,,,Yes,Mac,Yes,Risk-friendly,No,Yes!,No,Socialize,No,,,No,Yes,Yes,Grrr people,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,Check!,Yes,No,,Yes,Yes,,,,,,Democrat
3523,4390,1996.0,Male,"$100,001 - $150,000",Single (no kids),Current K-12,No,No,No,No,No,Yes,Private,No,No,No,Yes,No,Yes,Yes,Science,Study first,No,Yes,Yes,Yes,Giving,No,No,Pragmatist,No,No,Cool headed,Odd hours,No,Right,Yes,Yes,No,Yes,P.M.,Yes,Start,No,No,Circumstances,Yes,Yes,Yes,Yes,No,Mysterious,No,No,Tunes,People,No,No,Yes,Yes,Yes,Supportive,No,PC,No,Cautious,No,Umm...,No,Space,Yes,In-person,No,No,Yes,No,Grrr people,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Own,Pessimist,Mom,No,No,No,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Democrat
5179,6466,1997.0,Female,"$75,000 - $100,000",Single (no kids),Master's Degree,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Hot headed,Standard hours,,Happy,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
2519,3136,1979.0,Male,"$100,001 - $150,000",Married (no kids),Bachelor's Degree,,,No,Yes,No,Yes,Private,No,Yes,No,Yes,No,,,,,,,Yes,,Receiving,No,Yes,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,Yes,Yes,No,No,A.M.,Yes,Start,Yes,No,Me,Yes,No,Yes,No,Yes,Mysterious,No,No,Talk,People,No,No,Yes,Yes,Yes,Supportive,,Mac,No,Cautious,No,Yes!,No,Space,No,,,,Yes,No,Grrr people,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,,Optimist,Dad,,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Republican
5480,6849,1999.0,Female,,Single (no kids),Current K-12,,,,,,,,,,,Yes,No,,Yes,Art,,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
1952,2421,1980.0,Female,"$50,000 - $74,999",Single (w/kids),Bachelor's Degree,Yes,No,No,Yes,No,No,Public,No,Yes,No,,,No,Yes,Science,Try first,Yes,Yes,No,No,Giving,No,Yes,Idealist,No,Yes,Hot headed,Standard hours,No,Happy,No,Yes,Yes,No,P.M.,Yes,Start,No,No,Me,No,Yes,No,No,No,Mysterious,Yes,No,Tunes,Technology,No,Yes,Yes,Yes,No,Supportive,No,PC,Yes,Cautious,Yes,Umm...,Yes,Socialize,No,Online,Yes,Yes,No,Yes,Grrr people,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Own,Pessimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Democrat
2924,3640,1996.0,Female,"over $150,000",Single (no kids),Current K-12,,,No,No,No,Yes,Private,,No,No,,Yes,,,,,,,,,,,Yes,Pragmatist,No,Yes,,,,,,,,,,No,,Yes,No,,No,No,Yes,Yes,No,Mysterious,No,No,Tunes,,,,,,,,,,No,Cautious,Yes,Umm...,No,Space,Yes,In-person,No,,,No,Grrr people,,,No,Yes,,,,No,Yes,No,Yes,No,Own,Pessimist,Mom,No,No,Yes,No,Nope,No,No,No,,,,Yes,No,No,,Republican
2036,2530,1991.0,Female,"under $25,000",Single (no kids),Current Undergraduate,Yes,Yes,No,Yes,No,No,Public,Yes,Yes,No,,,,,,,,,,,,Yes,,,,,,,No,,,No,Yes,No,A.M.,Yes,Start,Yes,No,Me,No,No,No,Yes,No,TMI,No,No,Tunes,People,Yes,Yes,No,Yes,No,Supportive,No,PC,Yes,Cautious,No,Umm...,Yes,Space,No,Online,No,No,No,Yes,Grrr people,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Own,Optimist,Dad,Yes,No,Yes,Yes,Check!,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Democrat
3384,4213,1993.0,Male,"$75,000 - $100,000",Single (no kids),Current Undergraduate,,,,,,,,No,Yes,No,Yes,Yes,Yes,Yes,Science,Try first,Yes,Yes,Yes,No,Giving,Yes,No,Pragmatist,Yes,Yes,Hot headed,Odd hours,Yes,Happy,Yes,Yes,Yes,No,P.M.,Yes,Start,Yes,No,,No,Yes,Yes,Yes,,TMI,,,Talk,Technology,,Yes,Yes,No,Yes,Supportive,No,PC,Yes,Cautious,No,Yes!,Yes,Socialize,Yes,Online,Yes,No,Yes,Yes,Grrr people,No,No,No,,No,No,No,,Yes,No,No,No,Own,Pessimist,Mom,No,No,No,Yes,,,,,,No,No,Yes,No,No,Yes,Democrat
5066,6328,1984.0,Male,"$25,001 - $50,000",Single (no kids),Associate's Degree,,No,No,Yes,No,No,Public,No,Yes,No,,No,No,Yes,Science,Study first,Yes,No,,Yes,Giving,No,No,Idealist,No,Yes,Cool headed,,No,Happy,,No,No,Yes,A.M.,Yes,Start,Yes,No,Circumstances,No,Yes,No,Yes,No,Mysterious,No,No,Talk,People,No,Yes,Yes,Yes,Yes,Supportive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
5443,6798,1972.0,Male,"over $150,000",Married (w/kids),Associate's Degree,No,Yes,No,Yes,Yes,Yes,Public,No,No,No,Yes,Yes,Yes,Yes,Science,Study first,No,Yes,Yes,No,Giving,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
0,1,1938.0,Male,,Married (w/kids),,No,,No,No,No,Yes,Public,No,Yes,No,,No,No,Yes,,Try first,No,No,,Yes,,Yes,Yes,Idealist,No,No,,,Yes,Happy,Yes,Yes,No,No,P.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,Yes,Yes,No,,Yes,Yes,Talk,Technology,No,No,Yes,,No,Demanding,No,,No,Cautious,No,Yes!,No,Space,No,In-person,,Yes,No,Yes,Yay people!,Yes,No,Yes,Yes,,No,Yes,No,No,No,Yes,No,Own,Optimist,,Yes,Yes,No,No,Nope,Yes,No,No,,No,,Only-child,No,No,Yes,Democrat
2174,2711,1965.0,,"over $150,000",,Bachelor's Degree,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Technology,,,,,Yes,Supportive,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,Yes,,,,,,,,,,,,Democrat
1356,1682,1977.0,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Science,Try first,,,,,,,,,,,Hot headed,Standard hours,No,Right,No,Yes,No,No,P.M.,,Start,Yes,No,Me,,,,,,,,,,,,Yes,Yes,Yes,Yes,Supportive,No,Mac,,,,,No,,,Online,Yes,,Yes,Yes,Grrr people,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Rent,Pessimist,Dad,Yes,Yes,,Yes,Nope,Yes,No,No,No,Yes,No,Yes,No,No,No,Democrat
4152,5182,1990.0,Male,"under $25,000",Single (no kids),High School Diploma,No,Yes,No,No,No,No,Public,Yes,Yes,No,Yes,Yes,No,,Science,Try first,No,No,No,No,Receiving,Yes,No,Pragmatist,Yes,No,Cool headed,Standard hours,No,Right,No,Yes,No,No,P.M.,No,Start,No,Yes,Me,No,No,No,No,No,Mysterious,No,No,Tunes,People,No,No,Yes,Yes,Yes,Supportive,No,PC,,,,Yes!,No,Socialize,No,In-person,No,No,Yes,Yes,Grrr people,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Own,Optimist,Dad,No,No,No,No,Nope,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Republican
2763,3436,1956.0,Female,"$75,000 - $100,000",Single (no kids),Bachelor's Degree,,No,No,Yes,Yes,Yes,Private,No,Yes,No,No,No,No,Yes,Art,Study first,No,No,Yes,Yes,Giving,Yes,No,Pragmatist,No,No,,,,,,,,,,Yes,Start,Yes,No,Circumstances,No,No,Yes,Yes,Yes,TMI,No,Yes,Tunes,Technology,Yes,,,,Yes,,,,,,,,No,,,Online,No,Yes,Yes,Yes,Yay people!,Yes,No,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Own,,,,Yes,No,,Check!,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Democrat
2746,3417,1975.0,Male,,Single (no kids),Master's Degree,,Yes,No,Yes,No,Yes,Private,No,Yes,No,No,No,Yes,Yes,Science,Try first,No,Yes,No,No,Giving,No,No,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,No,Yes,No,No,P.M.,Yes,End,Yes,No,Me,No,Yes,Yes,Yes,No,Mysterious,No,No,Talk,Technology,No,No,Yes,Yes,No,Supportive,No,,No,Risk-friendly,No,Yes!,No,Socialize,No,Online,No,Yes,Yes,Yes,Yay people!,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Rent,Optimist,Mom,No,No,No,Yes,Nope,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Republican
396,494,1987.0,Female,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Yes,Yes,No,Yes,Yes,Yes,Public,No,Yes,Yes,Yes,Yes,No,Yes,Art,Study first,No,No,No,Yes,Giving,Yes,Yes,Pragmatist,No,No,Hot headed,Standard hours,No,Happy,Yes,Yes,No,Yes,A.M.,Yes,End,Yes,No,Circumstances,,,,,No,TMI,No,No,Tunes,People,No,No,Yes,No,No,Supportive,No,PC,Yes,Cautious,Yes,Yes!,No,Space,Yes,In-person,Yes,No,Yes,Yes,Grrr people,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Rent,Pessimist,Mom,No,Yes,Yes,Yes,Check!,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Republican
4397,5490,1996.0,Male,,,Current K-12,,,Yes,,,,,,,,Yes,,Yes,Yes,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,Tunes,Technology,,,,,,,,Mac,,,No,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
3898,4856,1981.0,Male,"$75,000 - $100,000",Married (w/kids),Master's Degree,Yes,No,No,Yes,No,No,Private,No,Yes,No,Yes,Yes,Yes,Yes,Art,Try first,No,No,No,No,Giving,No,Yes,Pragmatist,No,No,,Odd hours,No,Right,Yes,Yes,No,Yes,A.M.,,Start,No,Yes,Circumstances,No,No,Yes,Yes,No,Mysterious,Yes,Yes,Talk,People,Yes,Yes,Yes,Yes,No,Supportive,No,PC,Yes,Cautious,No,Yes!,No,Space,Yes,In-person,No,Yes,Yes,Yes,Grrr people,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Own,Pessimist,Dad,Yes,No,No,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Republican
1812,2247,1964.0,Male,"over $150,000",Married (no kids),Associate's Degree,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,No,,,,,,,,,,,,No,,,In-person,No,No,,,,,,,,,,,No,Yes,No,No,,,,,,Yes,Yes,Yes,,Yes,No,No,Yes,Yes,Yes,Only-child,Yes,No,Yes,Republican
5077,6340,1997.0,Male,,Single (no kids),Current K-12,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Cool headed,Standard hours,No,Happy,Yes,No,No,,P.M.,Yes,,Yes,Yes,Circumstances,No,Yes,No,No,Yes,Mysterious,No,No,Tunes,People,Yes,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
